,Gaijin,Mitudo,Aged,Jin-in,Rikon,House,Shop,Convin,Car,Koufu,Jumin-tax
Hokkaido,219.0,72.2,20.3,2.4,2.8,288.0,17.6,44.8,650.8,27.2,67.5
Aomori,205.7,152.1,21.4,2.9,2.5,366.0,12.4,30.2,678.9,29.1,53.8
Iwate,271.2,91.7,23.4,2.9,1.9,386.0,11.4,31.3,695.0,30.4,55.3
Miyagi,439.7,325.7,18.9,2.8,2.2,384.0,15.6,39.7,649.6,25.4,72.5
Akita,258.1,100.5,25.6,3.0,1.9,400.0,13.0,35.4,705.3,32.1,52.0
Yamagata,403.0,131.9,24.5,3.3,1.8,419.0,12.4,34.2,742.2,33.7,56.7
Fukushima,415.3,153.3,21.8,3.1,2.2,386.0,13.1,37.0,726.8,27.0,58.8
Ibaraki,1033.2,490.7,18.1,3.0,2.2,448.0,14.2,37.5,782.1,20.5,75.0
Tochigi,1051.6,313.8,18.5,3.0,2.2,399.0,12.3,36.7,784.3,22.1,76.1
Gumma,1409.4,319.6,19.6,2.9,2.1,370.0,13.2,32.8,831.1,22.9,74.1
Saitama,899.6,1851.0,14.9,2.8,2.2,239.0,13.8,31.9,541.0,18.3,86.8
Chiba,971.7,1168.2,16.2,2.7,2.3,273.0,13.6,33.3,555.6,17.2,91.7
Tokyo,1765.4,5629.0,17.6,2.2,2.4,148.0,16.7,43.0,374.4,0.0,166.8
Kanagawa,1169.0,3595.9,15.6,2.5,2.3,188.0,13.1,35.6,453.5,8.6,109.4
Niigata,377.6,195.5,23.0,3.1,1.6,350.0,11.7,26.8,716.0,26.2,64.6
Toyama,630.0,263.1,22.4,3.1,1.6,393.0,13.0,37.4,768.9,29.9,76.6
Ishikawa,535.2,282.0,20.0,2.8,1.9,297.0,12.1,31.7,721.0,25.7,78.5
Fukui,1189.6,197.4,22.0,3.1,1.8,330.0,11.8,30.2,762.5,28.8,77.7
Yamanashi,1238.6,198.7,21.0,2.8,2.1,342.0,13.5,38.4,803.8,29.6,71.4
Nagano,1502.3,163.0,22.8,2.9,1.8,357.0,16.7,31.2,826.0,26.8,72.3
Gifu,1262.0,199.2,19.8,3.1,1.9,292.0,12.6,32.3,763.2,24.2,74.1
Shizuoka,1390.7,487.5,19.4,2.9,2.1,273.0,13.9,31.9,718.8,17.0,85.8
Aichi,1566.0,1386.5,16.2,2.8,2.2,260.0,14.1,33.3,672.3,6.1,109.1
Mie,1288.0,322.4,20.5,2.9,2.2,294.0,12.8,22.4,754.9,25.1,78.0
Shiga,1398.8,340.0,17.3,3.0,2.0,291.0,13.9,30.2,679.9,24.0,79.6
Kyoto,1705.3,572.5,19.2,2.6,2.2,170.0,14.3,28.9,509.7,24.6,82.1
Osaka,1940.7,4655.1,17.0,2.5,2.8,130.0,15.1,28.3,428.6,12.5,95.7
Hyogo,1492.8,665.4,18.6,2.7,2.3,204.0,13.4,23.1,519.7,20.9,85.0
Nara,585.2,389.0,18.5,2.9,2.1,235.0,14.1,21.6,566.3,33.3,81.8
Wakayama,449.3,223.4,22.8,2.8,2.5,206.0,13.9,19.1,692.4,35.8,64.8
Tottori,499.1,174.1,23.4,3.0,2.1,318.0,12.7,24.3,735.4,34.2,63.0
Shimane,581.6,112.3,26.5,2.9,1.6,312.0,8.5,18.4,713.7,31.0,61.8
Okayama,643.6,274.6,21.7,2.8,2.1,272.0,14.0,28.0,736.8,28.5,69.0
Hiroshima,802.8,339.5,20.1,2.6,2.2,228.0,15.8,28.2,621.5,23.8,79.0
Yamaguchi,829.2,247.4,24.0,2.6,2.2,282.0,10.4,24.0,690.0,27.2,69.0
Tokushima,332.1,197.1,23.5,2.8,2.0,280.0,10.0,21.7,739.8,28.0,70.3
Kagawa,480.4,543.5,22.4,2.8,2.3,297.0,12.7,27.5,723.9,28.3,78.5
Ehime,304.1,261.2,23.0,2.6,2.2,238.0,13.2,25.5,665.5,28.9,61.9
Kochi,298.4,113.6,25.0,2.5,2.5,199.0,14.4,21.5,697.2,35.5,60.4
Fukuoka,612.1,1015.5,18.8,2.6,2.6,277.0,12.9,33.9,609.4,21.6,73.0
Saga,295.0,357.5,21.8,3.1,2.0,328.0,9.7,32.7,716.4,34.6,55.6
Nagasaki,307.0,366.7,22.4,2.7,2.2,242.0,10.7,29.0,598.7,33.4,56.3
Kumamoto,237.1,250.5,22.8,2.8,2.2,329.0,12.4,36.2,681.5,31.7,56.3
Oita,384.8,192.1,23.4,2.6,2.2,290.0,12.2,26.2,703.3,31.8,59.4
Miyazaki,209.5,150.5,22.4,2.6,2.5,345.0,10.3,29.5,757.8,32.5,52.4
Kagoshima,202.9,193.2,24.0,2.4,2.2,320.0,12.8,31.6,720.0,31.1,53.4
Okinawa,507.4,593.4,15.6,2.9,2.8,278.0,11.7,34.9,660.9,31.9,48.0
