mode,time_1ibaraki,time_2tokyo,time_3hachinohe,time_4rail,time_5seikan,cost_1ibaraki,cost_2tokyo,cost_3hachinohe,cost_4rail,cost_5seikan,w1_al1,w1_al2,w1_al3,w1_al4,w1_al5,w2_al1,w2_al2,w2_al3,w2_al4,w2_al5,w3_al1,w3_al2,w3_al3,w3_al4,w3_al5,w4_al1,w4_al2,w4_al3,w4_al4,w4_al5,goods
1,22.188,32.653,17.298,20.72,17.288,320.58,283.31,284.7,188.9,346.04,5.342422681,0,0,0,0,0,5.342422681,0,0,0,0,0,5.342422681,0,0,0,0,0,5.342422681,0,6
1,24.082,34.262,19.048,50.283,19.81,356.96,320.33,316.17,193,384.33,3.602059991,0,0,0,0,0,3.602059991,0,0,0,0,0,3.602059991,0,0,0,0,0,3.602059991,0,6
1,22.48,35.915,17.585,18.917,18.273,323.76,320.32,289.83,184.8,360.49,2.982271233,0,0,0,0,0,2.982271233,0,0,0,0,0,2.982271233,0,0,0,0,0,2.982271233,0,1
1,24.622,34.792,19.732,65.683,20.612,362.28,324.54,325.12,219,397.69,3.339252634,0,0,0,0,0,3.339252634,0,0,0,0,0,3.339252634,0,0,0,0,0,3.339252634,0,1
1,22.853,37.193,17.238,23.228,17.735,328.54,335.69,277.46,185.1,332.59,1.113943352,0,0,0,0,0,1.113943352,0,0,0,0,0,1.113943352,0,0,0,0,0,1.113943352,0,4
1,24.68,39.852,19.785,24.665,13.663,360.81,395.03,324.76,149.3,275.66,2.741151599,0,0,0,0,0,2.741151599,0,0,0,0,0,2.741151599,0,0,0,0,0,2.741151599,0,7
1,23.622,35.918,18.732,43.802,19.613,339.94,345.7,309.92,208.5,370.7,3.995722922,0,0,0,0,0,3.995722922,0,0,0,0,0,3.995722922,0,0,0,0,0,3.995722922,0,6
1,21.93,36.943,17.312,32.908,18,299.38,347.55,274.5,179.9,348.22,1.301029996,0,0,0,0,0,1.301029996,0,0,0,0,0,1.301029996,0,0,0,0,0,1.301029996,0,5
1,25.767,35.937,20.877,68.998,21.757,386.15,347.25,342.5,225.3,421.8,3.301029996,0,0,0,0,0,3.301029996,0,0,0,0,0,3.301029996,0,0,0,0,0,3.301029996,0,7
1,22.03,35.663,17.135,20.258,17.865,304.68,308.36,262.33,188.9,342.94,1.255272505,0,0,0,0,0,1.255272505,0,0,0,0,0,1.255272505,0,0,0,0,0,1.255272505,0,5
