year,num,pref,pop.1000,GRP.mill,agriculture,wood,mine,machine,chemical,Smachine,miscind,special,total
2000,1,Hokkaido,5683,20471299,13062354,2100076,47400509,8638957,68047304,13457707,3209660,8445845,164362412
2000,2,Aomori,1476,4622235,3558257,481593,17733394,2025278,10073313,2344651,687354,2391114,39294954
2000,3,Iwate,1416,4893514,1725137,906590,15373502,2207847,14041095,2268808,2031276,690371,39244626
2000,4,Miyagi,2365,8732320,4009951,1421064,21233862,6042904,23096603,7278886,2444215,4188155,69715640
2000,5,Akita,1189,4041191,1426790,1156220,10712830,2168584,7483542,1634107,699626,290903,25572602
2000,6,Yamagata,1244,4269420,1116654,724471,10613515,1893757,7938027,2014291,968461,386693,25655869
2000,7,Fukushima,2127,8136629,1427899,1171721,21344999,7155191,17585632,4831777,1299237,935232,55751688
2000,8,Ibaraki,2986,11130983,7430916,518991,32253906,14091474,41413786,6657984,3656548,6614542,112638147
2000,9,Tochigi,2005,8000461,1462002,455854,29675654,9276933,19951555,4660418,1995225,965333,68442974
2000,10,Gunma,2025,7986324,2368167,721387,20998144,10888840,10113362,6918376,1421271,1349157,54778704
2000,11,Saitama,6938,20399563,5585616,621469,8672015,16414020,49082921,12128088,7846944,6702281,107053354
2000,12,Chiba,5926,18809991,5562804,1470182,16760672,39212269,105213543,10173347,2763948,3156572,184313337
2000,13,Tokyo,12064,89650236,19972842,1377499,10260611,40076491,42984594,27530808,14878500,7094311,164175656
2000,14,Kanagawa,8490,31415037,10096521,1201100,21125823,27272773,93699652,12359872,4629034,6019031,176403806
2000,15,Niigata,2476,9548687,2251974,1081094,24914301,4879100,26711970,5520451,1517220,3079613,69955723
2000,16,Toyama,1121,4773915,787074,851231,14649002,5535150,12269354,2780929,1136857,489579,38499176
2000,17,Ishikawa,1181,4984154,896891,457198,5682562,3009821,13053959,2844702,981832,479777,27406742
2000,18,Fukui,829,3306874,471162,304279,6955323,1451503,8351815,2172466,493261,323464,20523273
2000,19,Yamanashi,888,3199643,338536,105059,11663039,1110844,5946491,1445348,493496,235474,21338287
2000,20,Nagano,2215,8619046,2618225,705944,38036922,6311846,12852836,4958317,1100549,1982883,68567522
2000,21,Gifu,2108,7573561,1436752,487736,34425996,4569365,21072780,3114833,2494201,2360522,69962185
2000,22,Shizuoka,3767,15990240,4685885,2784660,16176853,17962190,28414679,18860274,3706456,8440235,101031232
2000,23,Aichi,7043,33361055,10769294,5674483,35539266,70979783,63221446,20220032,7079238,14867291,228350833
2000,24,Mie,1857,7170027,2168221,738591,28375499,6116020,39356195,2771248,1866999,1641253,83034026
2000,25,Shiga,1343,5822657,334174,200074,9489306,6534452,15481957,3098003,1538201,1123220,37799387
2000,26,Kyoto,2644,9776633,2129506,276701,13248829,3870097,10685385,5918729,1461057,1081803,38672107
2000,27,Osaka,8805,39609306,10160149,988579,12904398,53067738,71173674,19905768,11235798,6046732,185482836
2000,28,Hyougo,5551,20272696,7718647,1371707,22081867,27961225,47689481,15302817,3867759,5002109,130995612
2000,29,Nara,1443,3894467,371850,695940,4170815,1950140,6263174,1665787,923072,471881,16512659
2000,30,Wakayama,1070,3356343,612660,592280,1796127,6523129,11984005,1138528,863867,571760,24082356
2000,31,Tottori,613,2193123,618480,214614,4336231,615673,5614094,1416067,408809,334695,13558663
2000,32,Shimane,762,2604651,309175,292892,11459777,1205364,5703402,670718,2304576,894504,22840408
2000,33,Okayama,1951,7525002,2826433,812607,30984024,19657097,45727174,4330274,1472293,4082647,109892549
2000,34,Hiroshima,2879,11375854,2842689,2157514,17683275,29676068,17402059,6227862,2420860,2605101,81015428
2000,35,Yamaguchi,1528,5735688,1390474,1127186,15724710,5971485,60008785,3055406,760556,2384057,90422659
2000,36,Tokushima,824,2776944,1007389,344662,4448531,652795,8369423,3210053,863314,1304408,20200575
2000,37,Kagawa,1023,3764063,1498785,341270,17204375,4223789,18202666,3214918,866252,1097041,46649096
2000,38,Ehime,1493,5181398,1448416,643706,10960847,2595109,18693419,8090757,698667,625692,43756613
2000,39,Kouchi,814,2498700,598755,355769,12545163,767748,8787258,1029765,325379,152774,24562611
2000,40,Fukuoka,5016,17820424,7924646,1812807,41869014,17994755,50667216,13927154,4277003,3751805,142224400
2000,41,Saga,877,3021823,1228980,315769,4447349,1106262,7214464,2904115,2066782,721838,20005559
2000,42,Nagasaki,1517,4563209,1485437,91505,10479902,2889212,9392346,1854506,343819,312147,26848874
2000,43,Kumamoto,1859,5551841,2497899,626665,12087464,2916060,12289489,3225461,640432,873664,35157134
2000,44,Ooita,1221,4440515,926520,871726,31640342,12270395,27600396,1972645,1012183,890497,77184704
2000,45,Miyazaki,1170,3691610,1896836,640581,7127386,1013235,7816491,2298790,524937,1042171,22360427
2000,46,Kagoshima,1786,5525044,6888843,327267,13524729,970645,12623306,2222303,993548,6180261,43730902
2000,47,Okinawa,1318,3506407,1005972,12420,11588976,584825,15706115,1963485,529258,289334,31680385
2005,1,Hokkaido,5628,19883837,10773522,2922787,48000522,13326783,40664495,16487184,2884984,9806916,144867193
2005,2,Aomori,1437,4500069,3168508,493971,15001088,2364016,10116638,2166673,724718,4331849,38367461
2005,3,Iwate,1385,4606014,1444208,250330,15032463,2676323,11650651,1863723,779963,775177,34472838
2005,4,Miyagi,2360,8469524,4023064,209816,11515846,9524238,23704767,7235740,1678545,3428091,61320107
2005,5,Akita,1146,3757770,1056302,455358,6171848,1269405,7570125,2208672,983573,583025,20298308
2005,6,Yamagata,1216,3961783,987938,58454,6151334,2591859,6086380,1850100,1261285,483975,19471325
2005,7,Fukushima,2091,7836897,1368694,845921,18513286,6438484,13233620,4366204,1543807,1718215,48028231
2005,8,Ibaraki,2975,11196075,6796471,3320043,24752027,17414756,50391207,6169363,1848345,6405462,117097674
2005,9,Tochigi,2017,8132502,1273930,345120,33442217,11744531,11059081,3674722,2062731,2352392,65954724
2005,10,Gunma,2024,7668403,1451010,386701,9978274,12115359,13814029,6353893,4241496,1303146,49643908
2005,11,Saitama,7054,20526591,3092938,765514,13606258,20250630,39744539,11165116,7583705,4513538,100722238
2005,12,Chiba,6056,19670654,5067101,588135,26921440,30267616,103490580,7473563,5827457,4069213,183705105
2005,13,Tokyo,12577,97962759,20352247,1637437,5824995,17412503,40610236,19501198,16068128,12742957,134149701
2005,14,Kanagawa,8792,30874470,7152592,3283152,5537387,30474561,93270209,15692090,4869487,8837204,169116682
2005,15,Niigata,2431,9267701,2639326,881060,20256488,6841069,27468047,4688989,1243363,3153197,67171539
2005,16,Toyama,1112,4863530,807664,636651,10523498,4689609,12955880,2262764,995262,1413502,34284830
2005,17,Ishikawa,1174,4762465,813787,1037058,8860330,2425272,7200092,2726779,1130650,624141,24818109
2005,18,Fukui,822,3351506,504015,232170,4774284,1645198,7866560,1507434,1424478,419817,18373956
2005,19,Yamanashi,885,3186249,495621,424805,5886034,1289636,6930118,1306353,748664,611408,17692639
2005,20,Nagano,2196,8388888,2394562,2813142,22147847,5261628,12661075,4869077,1219818,1260365,52627514
2005,21,Gifu,2107,7512098,971455,2533377,26505263,6107595,18320330,3885745,1739158,4625473,64688396
2005,22,Shizuoka,3792,16699714,5464856,1778026,11722730,20602285,28670135,17681449,4832672,6965103,97717256
2005,23,Aichi,7255,34779076,11210918,2686331,14542659,75127120,83133875,16824537,9257267,15897408,228680115
2005,24,Mie,1867,7505210,2986657,1652149,21468282,7484651,44703438,2062741,1322719,1050333,82730970
2005,25,Shiga,1380,6017771,187290,1477153,4569855,6999234,15987644,3203115,1074363,712720,34211374
2005,26,Kyoto,2648,10053804,1463814,474877,9033808,4794778,10073660,5476176,1380441,1816572,34514126
2005,27,Osaka,8817,39192627,7716236,1407157,13720900,35500414,62495344,19222880,9703129,18104722,167870782
2005,28,Hyougo,5591,19608229,9408823,2751596,17962642,30360026,34439544,13081291,4298150,4772114,117074186
2005,29,Nara,1421,3867749,382487,411797,2703775,3086412,2533560,1288925,2846745,314619,13568320
2005,30,Wakayama,1036,3571864,444266,320657,2401122,9550479,14724852,1730953,406864,876175,30455368
2005,31,Tottori,607,2121785,955758,177203,3679213,829263,3858393,1550349,204283,319073,11573535
2005,32,Shimane,742,2538156,219503,63098,8910169,1074986,5963687,726916,692340,187570,17838269
2005,33,Okayama,1957,7453806,2039656,741651,22822451,20768002,45436200,4584134,1408228,5109613,102909935
2005,34,Hiroshima,2877,11033328,3421521,3897538,12386261,24592338,17633639,5100428,7211377,7663358,81906460
2005,35,Yamaguchi,1493,5886707,1154014,1540169,14902722,10951000,53144819,2600729,1636059,2489693,88419205
2005,36,Tokushima,810,2993418,536080,946281,4176296,1016254,5959757,3058680,594446,584405,16872199
2005,37,Kagawa,1012,3780159,1185583,276490,11268541,6654273,16038417,2439412,1083217,1664440,40610373
2005,38,Ehime,1468,5141381,1444947,464644,11241512,3946138,19130318,7117419,686216,1804927,45836121
2005,39,Kouchi,796,2475785,374702,438364,16431062,760012,8414544,1045435,98469,221714,27784302
2005,40,Fukuoka,5050,17850042,6804456,4530913,27028307,21842493,52753003,9588114,4441917,4461278,131450481
2005,41,Saga,866,2865032,1538850,202508,4455550,2425895,4364481,3348776,1047168,714714,18097942
2005,42,Nagasaki,1479,4418987,1617227,618925,8216094,2279185,6618441,1031408,1054256,1288203,22723739
2005,43,Kumamoto,1842,5659180,2557398,396060,14133915,3389241,9934516,2239577,630971,1787895,35069573
2005,44,Ooita,1210,4553708,490343,554165,21981729,10544410,24014270,1666062,258612,5584279,65093870
2005,45,Miyazaki,1153,3588399,2029322,1938584,4734495,918947,6504323,1887554,147379,971987,19132591
2005,46,Kagoshima,1753,5630408,6114439,395314,6733904,1325811,12741350,2234494,448536,7207374,37201222
2005,47,Okinawa,1362,3662933,519883,1270234,7284727,830401,12491599,2225082,174710,731245,25527881
2010,1,Hokkaido,5506,18137697,13801375,1414808,30747801,7782702,43040477,12403437,2761384,5243486,117195470
2010,2,Aomori,1373,4401360,3513842,303989,9526682,1895676,7380296,1858590,441413,4405818,29326306
2010,3,Iwate,1330,4121508,1670489,524486,10069005,3002899,7013563,1847559,1390020,888663,26406684
2010,4,Miyagi,2348,7741402,3929005,624406,10107782,8095684,16439073,7027497,1922468,3374442,51520357
2010,5,Akita,1086,3413112,792405,475024,6946829,1468726,3643419,1289219,572390,428482,15616494
2010,6,Yamagata,1169,3512878,1009766,163491,4815448,2800469,3304312,1409265,444987,686479,14634217
2010,7,Fukushima,2029,7024376,1417457,465272,10893730,6088483,10976967,3268359,1524637,1857028,36491933
2010,8,Ibaraki,2970,10809225,7606091,980019,18989773,16628144,46774449,5978972,2900644,5762385,105620477
2010,9,Tochigi,2008,7732670,1159521,163173,22283433,9352599,13647129,4232654,1748863,2022976,54610348
2010,10,Gunma,2008,7308659,2264895,388322,8238415,11570972,10988678,5688116,1961577,2058252,43159227
2010,11,Saitama,7195,19728869,4597907,563128,15565063,14351384,27285516,12952772,5902392,5940752,87158914
