year,month,mileage,daily_km,hybrid,displace_cc,weight_kg,age_month,temp_ave,gasprice,pop_density
2006,10,17.44,19,0,650,1090,12,8.9,141.3,65
2006,10,8.97,14.3,0,650,1220,79,14.6,145.42,158
2006,10,16.22,16.1,0,650,1060,15,17.2,140.94,186
2006,10,14.42,24.8,0,650,1000,5,20.6,140.74,1027
2006,10,13.99,24.2,0,650,890,107,20.1,142.42,338
2006,10,12.95,14.4,0,650,1050,29,18.4,143.48,105
2006,10,11.5,14.6,0,650,1130,65,12.6,141.3,65
2006,10,1.54,2.3,0,650,1080,35,19.7,139.92,322
2006,10,10.6,12.7,0,650,1070,19,20.2,143.26,251
2006,10,15.73,20.4,0,650,1040,39,21.2,143,245
2006,10,4.69,14.1,0,650,1500,122,14.6,145.42,158
2006,10,12.07,46.6,0,650,1050,41,19.3,139.08,1213
2006,10,20.14,6.7,0,650,1050,88,20,141.32,212
2006,10,18.5,16.4,0,990,1165,38,17.9,140.7,256
2006,10,10.73,16.1,0,990,1175,21,20.6,140.74,1027
2006,10,16.88,31.8,0,990,1125,82,19.9,142.16,273
2006,10,11.3,7.7,0,990,1135,60,15.5,139.72,320
2006,10,10.26,21.5,0,1090,1190,131,20.1,142.42,338
2006,10,6.54,13,0,1290,1285,35,18.4,143.48,105
2006,10,6.98,8.8,0,1320,1245,38,19.4,142.44,234
2006,10,15.14,22.4,0,1330,1275,17,18.1,138.36,166
2006,10,10.03,21.7,0,1330,1265,51,20,143.38,487
2006,10,40.17,60.6,0,1330,1195,120,18.1,141.92,277
2006,10,14.34,32.1,0,1330,1195,97,19.9,142.16,273
2006,10,12.06,28.9,0,1330,1265,48,20.7,140.68,671
2006,10,10.67,29.7,0,1340,1345,17,20.2,143.26,251
2006,10,9.06,43.8,0,1460,1485,23,15.5,139.72,320
2006,10,9.63,13,0,1490,1385,15,11.7,141.3,65
2006,10,24.96,28.1,0,1490,1335,77,19.9,142.16,273
2006,10,15.06,8.4,0,1490,1275,135,20.6,140.74,1027
2006,10,9.06,8.4,0,1490,1325,116,18.1,138.36,166
2006,10,14.55,32.6,0,1490,1445,65,14.6,145.42,158
2006,10,12.34,55.2,1,1490,1495,54,9.2,141.3,65
2006,10,18.98,109,0,1490,1335,22,20.1,142.42,338
2006,10,21.57,72.5,1,1490,1515,94,20.2,140.96,187
2006,10,23.51,8.4,1,1490,1525,14,21.4,140.44,105
2006,10,12.05,29.3,0,1490,1345,62,20.1,142.42,338
2006,10,14.23,36.1,0,1490,1345,110,19.3,139.08,1213
2006,10,13.16,40.1,0,1490,1275,139,19.9,142.16,273
2006,10,21.9,110.3,1,1490,1535,6,19.5,142.64,6069
2006,10,22.4,20.9,1,1490,1525,22,20.1,142.42,338
2006,10,9.99,10.1,0,1490,1405,115,19.9,142.16,273
2006,10,12.99,10.5,1,1490,1515,97,20.6,140.74,1027
2006,10,6.38,17.5,1,1490,1495,75,20.4,140.88,4656
2006,10,20.71,42.3,1,1490,1545,31,21.4,140.44,105
2006,10,11.27,3.8,1,1490,1515,91,20,141.2,536
2006,10,15.43,7.7,1,1490,1495,74,11.7,141.3,65
2006,10,17.3,27.2,1,1490,1565,16,20.6,140.74,1027
2006,10,10.76,11.5,1,1490,1545,21,11.7,141.3,65
2006,10,10.67,3.2,0,1760,1395,126,20.4,140.88,4656
2006,10,11,55,0,1760,1465,82,20.4,140.88,4656
2006,10,10.72,25.9,0,1760,1575,60,20.1,142.42,338
2006,10,15.73,85.7,0,1790,1695,44,19.4,142.44,234
2006,10,6.16,15.1,0,1830,1855,28,10,141.3,65
2006,10,11.17,8.7,0,1830,1465,109,19.4,142.44,234
2006,10,8.1,17.7,0,1980,1535,56,14.6,145.42,158
2006,10,6.43,13.7,1,1980,1755,22,20.1,142.42,338
2006,10,12.35,59.3,0,1980,1655,56,18.1,141.92,277
2006,10,9.47,32.2,0,1980,1665,31,15.5,139.72,320
2006,10,7.77,17.4,0,1990,1990,8,18.4,143.48,105
2006,10,5.19,26.8,0,1990,2100,80,10,141.3,65
2006,10,14.03,81.8,0,1990,1495,4,19.8,141.42,197
2006,10,11.27,20.3,0,1990,1435,103,11.7,141.3,65
2006,10,8.14,29.7,0,1990,1685,16,19.5,141.7,1448
2006,10,9.33,48.2,0,1990,1885,24,19.4,142.44,234
2006,10,7.97,26.9,0,1990,1440,108,19.9,142.16,273
2006,10,6.56,17.2,0,1990,1860,96,19.4,142.44,234
2006,10,7.74,11.8,0,1990,1795,98,20.6,140.74,1027
2006,10,7.11,19.3,0,2350,2290,6,17.9,140.7,256
2006,10,7.97,45,0,2360,2035,40,17.4,137.26,313
2006,10,9.08,26.2,0,2360,2090,42,23.2,146.98,184
2006,10,13.21,45.3,1,2360,2245,48,18.4,143.48,105
2006,10,15.07,41.5,1,2360,2280,59,20.2,143.26,251
2006,10,5.48,13.6,0,2960,1975,139,19.8,141.42,197
2006,10,6.49,16.6,0,2980,1775,56,19.5,141.7,1448
2006,10,9.19,105.5,0,2990,1925,174,17.1,136.94,489
2006,10,5.88,27.2,0,3270,2480,106,8.9,141.3,65
2006,11,11.55,12.7,0,650,970,103,13.2,138.15,1448
2006,11,4.17,4.7,0,650,950,48,15.1,136.2,671
2006,11,18.48,59.1,0,650,1010,99,3.7,136.825,65
2006,11,11,22.2,0,650,1010,79,15,135.7,1027
2006,11,12.04,19.4,0,650,1040,17,13.6,136.475,273
2006,11,12.25,24.1,0,650,1040,23,13.6,137.825,338
2006,11,8.2,10,0,650,1130,11,6.2,136.825,65
2006,11,16.42,58.8,0,980,1145,33,12.7,139.375,105
2006,11,12.53,22,0,1240,1195,50,13.2,138.15,1448
2006,11,13.44,30.5,0,1290,1305,8,13.6,137.825,338
2006,11,8.61,9.7,0,1290,1205,12,12.7,134.1,166
2006,11,10.73,7.1,0,1320,1215,38,13.6,137.825,338
2006,11,13,28.9,0,1320,1195,30,10,137.425,143
2006,11,15.08,37.1,0,1330,1345,56,7,136.825,65
2006,11,17.73,24.2,0,1330,1125,122,12.7,139.375,105
2006,11,16.64,20.8,1,1330,1465,47,13.3,136.3,559
2006,11,14.76,16.9,0,1330,1175,88,14.5,138.8,487
2006,11,8.13,25.7,0,1330,1255,128,7,136.825,65
2006,11,10.72,34.7,0,1340,1375,42,6.2,136.825,65
2006,11,10.85,38.6,0,1380,1355,55,14.5,138.8,487
2006,11,20.16,41.6,0,1460,1465,57,12.7,138.5,234
2006,11,19.53,74.5,1,1490,1525,26,13.2,137.475,197
2006,11,10.1,4.8,1,1490,1515,97,12,136,378
2006,11,9.51,25.6,0,1490,1455,69,11.3,137.05,186
2006,11,8.58,8.7,0,1490,1465,116,8.3,141.1,158
2006,11,13.43,1.9,0,1490,1255,141,14.6,139.625,188
