year,num,prefecture,pop.1000,GRP.mill,goods,ton
2000,1,Hokkaido,5683,20471299,agriculture,13062354
2000,1,Hokkaido,5683,20471299,wood,2100076
2000,1,Hokkaido,5683,20471299,mine,47400509
2000,1,Hokkaido,5683,20471299,machine,8638957
2000,1,Hokkaido,5683,20471299,chemical,68047304
2000,1,Hokkaido,5683,20471299,Smachine,13457707
2000,1,Hokkaido,5683,20471299,miscind,3209660
2000,1,Hokkaido,5683,20471299,special,8445845
2000,1,Hokkaido,5683,20471299,total,164362412
2000,2,Aomori,1476,4622235,agriculture,3558257
2000,2,Aomori,1476,4622235,wood,481593
2000,2,Aomori,1476,4622235,mine,17733394
2000,2,Aomori,1476,4622235,machine,2025278
2000,2,Aomori,1476,4622235,chemical,10073313
2000,2,Aomori,1476,4622235,Smachine,2344651
2000,2,Aomori,1476,4622235,miscind,687354
2000,2,Aomori,1476,4622235,special,2391114
2000,2,Aomori,1476,4622235,total,39294954
2000,3,Iwate,1416,4893514,agriculture,1725137
2000,3,Iwate,1416,4893514,wood,906590
2000,3,Iwate,1416,4893514,mine,15373502
2000,3,Iwate,1416,4893514,machine,2207847
2000,3,Iwate,1416,4893514,chemical,14041095
2000,3,Iwate,1416,4893514,Smachine,2268808
2000,3,Iwate,1416,4893514,miscind,2031276
2000,3,Iwate,1416,4893514,special,690371
2000,3,Iwate,1416,4893514,total,39244626
2000,4,Miyagi,2365,8732320,agriculture,4009951
2000,4,Miyagi,2365,8732320,wood,1421064
2000,4,Miyagi,2365,8732320,mine,21233862
2000,4,Miyagi,2365,8732320,machine,6042904
2000,4,Miyagi,2365,8732320,chemical,23096603
2000,4,Miyagi,2365,8732320,Smachine,7278886
2000,4,Miyagi,2365,8732320,miscind,2444215
2000,4,Miyagi,2365,8732320,special,4188155
2000,4,Miyagi,2365,8732320,total,69715640
2000,5,Akita,1189,4041191,agriculture,1426790
2000,5,Akita,1189,4041191,wood,1156220
2000,5,Akita,1189,4041191,mine,10712830
2000,5,Akita,1189,4041191,machine,2168584
2000,5,Akita,1189,4041191,chemical,7483542
2000,5,Akita,1189,4041191,Smachine,1634107
2000,5,Akita,1189,4041191,miscind,699626
2000,5,Akita,1189,4041191,special,290903
2000,5,Akita,1189,4041191,total,25572602
2000,6,Yamagata,1244,4269420,agriculture,1116654
2000,6,Yamagata,1244,4269420,wood,724471
2000,6,Yamagata,1244,4269420,mine,10613515
2000,6,Yamagata,1244,4269420,machine,1893757
2000,6,Yamagata,1244,4269420,chemical,7938027
2000,6,Yamagata,1244,4269420,Smachine,2014291
2000,6,Yamagata,1244,4269420,miscind,968461
2000,6,Yamagata,1244,4269420,special,386693
2000,6,Yamagata,1244,4269420,total,25655869
2000,7,Fukushima,2127,8136629,agriculture,1427899
2000,7,Fukushima,2127,8136629,wood,1171721
2000,7,Fukushima,2127,8136629,mine,21344999
2000,7,Fukushima,2127,8136629,machine,7155191
2000,7,Fukushima,2127,8136629,chemical,17585632
2000,7,Fukushima,2127,8136629,Smachine,4831777
2000,7,Fukushima,2127,8136629,miscind,1299237
2000,7,Fukushima,2127,8136629,special,935232
2000,7,Fukushima,2127,8136629,total,55751688
2000,8,Ibaraki,2986,11130983,agriculture,7430916
2000,8,Ibaraki,2986,11130983,wood,518991
